event_type,period,timestamp,possession_team,player,outcome,start_location_x,start_location_y
pass,1,00:27:21.300,Belgium,Romelu Lukaku Menama,Complete,56.0,76.0
pass,1,00:27:24.340,Belgium,Jan Vertonghen,Incomplete,60.0,21.0
pass,1,00:28:14.580,Brazil,Philippe Coutinho Correia,Complete,76.0,39.0
pass,1,00:28:17.340,Brazil,José Paulo Bezzera Maciel Júnior,Complete,86.0,57.0
pass,1,00:28:21.140,Brazil,Willian Borges da Silva,Complete,97.0,69.0
pass,1,00:29:24.353,Brazil,Willian Borges da Silva,Incomplete,118.0,77.0
pass,1,00:30:32.580,Brazil,Neymar da Silva Santos Junior,Incomplete,119.0,2.0
pass,1,00:30:44.340,Belgium,Romelu Lukaku Menama,Complete,77.0,37.0
pass,1,00:32:14.380,Brazil,Philippe Coutinho Correia,Complete,74.0,19.0
pass,1,00:32:19.820,Brazil,Neymar da Silva Santos Junior,Complete,93.0,29.0
pass,1,00:32:20.820,Brazil,Philippe Coutinho Correia,Incomplete,99.0,28.0
pass,1,00:32:36.220,Brazil,João Miranda de Souza Filho,Complete,68.0,10.0
pass,1,00:32:40.500,Brazil,Philippe Coutinho Correia,Complete,71.0,23.0
pass,1,00:32:42.900,Brazil,José Paulo Bezzera Maciel Júnior,Complete,74.0,45.0
pass,1,00:32:48.740,Brazil,Willian Borges da Silva,Incomplete,110.0,69.0
pass,1,00:32:56.620,Belgium,Kevin De Bruyne,Complete,49.0,26.0
pass,1,00:32:58.700,Belgium,Eden Hazard,Complete,68.0,11.0
pass,1,00:33:03.060,Belgium,Nacer Chadli,Complete,92.0,15.0
pass,1,00:33:04.420,Belgium,Eden Hazard,Complete,90.0,10.0
